"X","x","y","df.ahy","df.hy","abun","rel.abun","ahy_wing","sy_wing","asy_wing"
944,-89.8334,44.7666,-68.8129986953735,-68.8129986953735,1.5404759645462,0.0460809654012655,106.140609741211,105.582336425781,107.843978881836
945,-89.5001,44.7666,-68.5185010147095,-68.5185010147095,1.77795100212097,0.0531846653238869,106.010131835938,105.582336425781,107.843978881836
946,-89.1668,44.7666,-71.283000869751,-71.283000869751,1.72428405284882,0.0515793012094717,106.020797729492,105.71410369873,108.21607208252
947,-88.8334,44.7666,-70.295,-70.295,1.77165699005127,0.0529963896486449,105.961090087891,105.71410369873,108.21607208252
948,-88.5001,44.7666,-69.715499420166,-69.715499420166,1.8339649438858,0.0548602361032169,105.94384765625,105.71410369873,108.343978881836
949,-88.1668,44.7666,-68.936499710083,-68.936499710083,1.63750994205475,0.0489835873591716,106.361427307129,105.48974609375,108.343978881836
950,-87.8334,44.7666,-68.3475007247925,-68.3475007247925,1.36752200126648,0.0409073140225161,105.918319702148,105.047439575195,108.401260375977
951,-87.5001,44.7666,-68.3759995651245,-68.3759995651245,1.30102396011352,0.0389181275605748,105.854606628418,105.047439575195,108.401260375977
952,-87.1668,44.7666,-67.5210017395019,-67.5210017395019,0,0,105.949447631836,105.047439575195,108.401260375977
953,-86.1668,44.7666,-68.129001159668,-68.129001159668,1.27235198020935,0.0380604494504596,106.234916687012,103.611724853516,108.222091674805
954,-85.8334,44.7666,-68.604001159668,-68.604001159668,1.11195302009582,0.0332623616506491,106.253791809082,103.611724853516,108.222091674805
955,-85.5001,44.7666,-68.4520013046265,-68.4520013046265,1.08202505111694,0.0323671125621946,106.096298217773,103.611724853516,108.222091674805
956,-85.1668,44.7666,-69.9339989852905,-69.9339989852905,0.955671012401581,0.0285874261403634,106.214027404785,103.569786071777,107.690368652344
957,-84.8334,44.7666,-70.675001449585,-70.675001449585,0.684300005435944,0.0204697805096028,106.147789001465,103.569786071777,107.880844116211
958,-84.5001,44.7666,-70.570500869751,-70.570500869751,0.587247014045715,0.0175665897807167,106.143569946289,103.569786071777,107.880844116211
959,-84.1668,44.7666,-70.123999710083,-70.123999710083,0.609516024589539,0.0182327329260871,105.809783935547,103.457542419434,107.976081848145
960,-83.8334,44.7666,-69.6964989852905,-69.6964989852905,0.695339024066925,0.0207999957465202,105.57780456543,103.867134094238,107.888763427734
961,-83.5001,44.7666,-69.316501159668,-69.316501159668,0.70728200674057,0.021157251675232,105.446678161621,103.867134094238,107.888763427734
962,-83.1668,44.7666,-68.698999710083,-68.698999710083,0,0,105.714363098145,103.319053649902,106.788757324219
963,-81.5001,44.7666,-70.029001159668,-70.029001159668,1.64102900028229,0.0490888545649966,105.701347351074,104.741676330566,106.955429077148
964,-81.1668,44.7666,-70.731999130249,-70.731999130249,1.68725800514221,0.0504717240303521,105.706581115723,104.741676330566,106.955429077148
965,-80.8334,44.7666,-70.333000869751,-70.333000869751,1.80362403392792,0.0539526345215044,105.572471618652,104.741676330566,106.955429077148
966,-80.1668,44.7666,-71.1879986953735,-71.1879986953735,1.29291498661041,0.0386755601099709,105.391288757324,104.299613952637,105.17765045166
967,-79.8334,44.7666,-71.5964989852905,-71.5964989852905,1.65959095954895,0.0496441069820628,105.039001464844,104.35302734375,104.805557250977
968,-79.5001,44.7666,-72.261499710083,-72.261499710083,1.79776501655579,0.0537773710425379,105.869728088379,104.35302734375,105.627777099609
969,-79.1668,44.7666,-73.012000579834,-73.012000579834,2.16982007026672,0.0649068248295499,106.482963562012,104.830810546875,105.502777099609
970,-78.8334,44.7666,-73.6770013046265,-73.6770013046265,3.25996494293213,0.0975168293449139,106.490013122559,104.830810546875,105.502777099609
971,-78.5001,44.7666,-74.266000289917,-74.266000289917,3.4136118888855,0.102112941042491,106.19660949707,104.97802734375,105.502777099609
972,-78.1668,44.7666,-74.6174992752075,-74.6174992752075,4.26936006546021,0.127711329478595,106.473922729492,104.97802734375,105.502777099609
973,-77.8334,44.7666,-74.664998550415,-74.664998550415,5.74403095245361,0.171823837356519,106.826057434082,104.47802734375,107.324996948242
974,-77.5001,44.7666,-74.7600007247925,-74.7600007247925,7.02177286148071,0.210045518224463,106.877059936523,104.811363220215,107.324996948242
975,-77.1668,44.7666,-74.5129986953735,-74.5129986953735,11.8012027740479,0.35301480142497,106.927169799805,104.811363220215,107.324996948242
976,-76.8334,44.7666,-74.256498260498,-74.256498260498,6.10271501541138,0.182553318552943,107.017959594727,104.811363220215,107.324996948242
977,-76.5001,44.7666,-73.7339989852905,-73.7339989852905,5.57975101470947,0.166909656089471,106.840751647949,104.719261169434,108.349998474121
978,-76.1668,44.7666,-73.5250014495849,-73.5250014495849,5.18716287612915,0.155165986699474,106.387619018555,105.381248474121,108.677116394043
979,-75.8334,44.7666,-73.5060010147095,-73.5060010147095,3.86585903167725,0.115641217639748,106.649841308594,104.881248474121,108.677116394043
980,-75.5001,44.7666,-73.420500869751,-73.420500869751,4.07501983642578,0.121897940904988,106.65412902832,105.416664123535,108.523300170898
981,-75.1668,44.7666,-73.591501159668,-73.591501159668,4.25904417037964,0.127402745368728,106.734146118164,105.583335876465,108.523300170898
982,-74.8334,44.7666,-73.819499130249,-73.819499130249,6.64184808731079,0.198680653873097,106.766975402832,105.401512145996,109.196449279785
983,-74.5001,44.7666,-75.177999420166,-75.177999420166,3.34115600585938,0.0999455349188724,106.327041625977,105.194442749023,107.863121032715
984,-74.1668,44.7666,-77.1350007247925,-77.1350007247925,3.22462010383606,0.096459542931504,106.563201904297,105.174240112305,107.032752990723
